"STATISTIC CODE","Statistic","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20121","2012Q1","Euro Million","621"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20122","2012Q2","Euro Million","1048"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20123","2012Q3","Euro Million","1296"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20124","2012Q4","Euro Million","806"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20131","2013Q1","Euro Million","688"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20132","2013Q2","Euro Million","1140"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20133","2013Q3","Euro Million","1546"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20134","2013Q4","Euro Million","864"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20141","2014Q1","Euro Million","699"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20142","2014Q2","Euro Million","1331"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20143","2014Q3","Euro Million","1734"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20144","2014Q4","Euro Million","952"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20151","2015Q1","Euro Million","780"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20152","2015Q2","Euro Million","1566"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20153","2015Q3","Euro Million","2037"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20154","2015Q4","Euro Million","1148"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20161","2016Q1","Euro Million","926"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20162","2016Q2","Euro Million","1655"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20163","2016Q3","Euro Million","2241"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20164","2016Q4","Euro Million","1242"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20171","2017Q1","Euro Million","945"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20172","2017Q2","Euro Million","1876"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20173","2017Q3","Euro Million","2287"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20174","2017Q4","Euro Million","1377"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20181","2018Q1","Euro Million","1079"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20182","2018Q2","Euro Million","1970"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20183","2018Q3","Euro Million","2425"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20184","2018Q4","Euro Million","1400"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20191","2019Q1","Euro Million","1029"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20192","2019Q2","Euro Million","2012"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20193","2019Q3","Euro Million","2448"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","14","Overseas tourism and travel earnings from trips to Ireland","20194","2019Q4","Euro Million","1378"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20121","2012Q1","Euro Million","821"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20122","2012Q2","Euro Million","1054"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20123","2012Q3","Euro Million","1648"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20124","2012Q4","Euro Million","889"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20131","2013Q1","Euro Million","828"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20132","2013Q2","Euro Million","1037"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20133","2013Q3","Euro Million","1565"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20134","2013Q4","Euro Million","865"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20141","2014Q1","Euro Million","723"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20142","2014Q2","Euro Million","1133"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20143","2014Q3","Euro Million","1559"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20144","2014Q4","Euro Million","952"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20151","2015Q1","Euro Million","794"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20152","2015Q2","Euro Million","1170"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20153","2015Q3","Euro Million","1680"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20154","2015Q4","Euro Million","1050"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20161","2016Q1","Euro Million","971"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20162","2016Q2","Euro Million","1243"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20163","2016Q3","Euro Million","1771"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20164","2016Q4","Euro Million","1118"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20171","2017Q1","Euro Million","952"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20172","2017Q2","Euro Million","1281"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20173","2017Q3","Euro Million","1875"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20174","2017Q4","Euro Million","1107"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20181","2018Q1","Euro Million","1047"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20182","2018Q2","Euro Million","1438"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20183","2018Q3","Euro Million","1931"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20184","2018Q4","Euro Million","1223"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20191","2019Q1","Euro Million","1260"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20192","2019Q2","Euro Million","1689"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20193","2019Q3","Euro Million","2223"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","15","Overseas tourism and travel expenditure by Irish residents abroad","20194","2019Q4","Euro Million","1308"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20121","2012Q1","Euro Million","-200"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20122","2012Q2","Euro Million","-6"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20123","2012Q3","Euro Million","-351"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20124","2012Q4","Euro Million","-83"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20131","2013Q1","Euro Million","-140"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20132","2013Q2","Euro Million","103"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20133","2013Q3","Euro Million","-19"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20134","2013Q4","Euro Million","-1"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20141","2014Q1","Euro Million","-24"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20142","2014Q2","Euro Million","198"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20143","2014Q3","Euro Million","175"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20144","2014Q4","Euro Million","0"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20151","2015Q1","Euro Million","-14"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20152","2015Q2","Euro Million","396"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20153","2015Q3","Euro Million","357"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20154","2015Q4","Euro Million","98"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20161","2016Q1","Euro Million","-45"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20162","2016Q2","Euro Million","412"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20163","2016Q3","Euro Million","470"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20164","2016Q4","Euro Million","124"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20171","2017Q1","Euro Million","-7"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20172","2017Q2","Euro Million","595"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20173","2017Q3","Euro Million","412"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20174","2017Q4","Euro Million","270"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20181","2018Q1","Euro Million","32"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20182","2018Q2","Euro Million","532"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20183","2018Q3","Euro Million","494"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20184","2018Q4","Euro Million","177"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20191","2019Q1","Euro Million","-231"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20192","2019Q2","Euro Million","323"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20193","2019Q3","Euro Million","225"
"TMQ05","Tourism and Travel Estimated Earnings and Expenditure","16","Tourism and travel balance","20194","2019Q4","Euro Million","70"
